time[s]	  500 Hz 	 2000 Hz
0.474	8.10E+08	7.77E+07
0.475	1.39E+08	2.47E+08
0.476	3.01E+08	2.58E+08
0.477	5.91E+08	1.65E+08
0.478	2.21E+08	1.21E+08
0.479	4.65E+07	8.65E+07
0.48	2.79E+08	9.02E+07
0.481	2.03E+08	2.29E+08
0.482	2.66E+07	1.00E+08
0.483	2.73E+08	1.00E+08
0.484	4.04E+08	7.44E+07
0.485	1.89E+08	4.08E+07
0.486	1.53E+08	7.95E+07
0.487	3.36E+08	6.73E+07
0.488	5.86E+08	4.22E+07
0.489	8.10E+08	5.88E+07
0.49	8.87E+08	4.07E+07
0.491	6.06E+08	2.07E+08
0.492	2.37E+08	3.62E+07
0.493	1.21E+08	2.20E+08
0.494	6.46E+07	1.80E+08
0.495	3.88E+07	2.47E+08
0.496	2.63E+08	2.13E+08
0.497	4.43E+08	3.49E+08
0.498	3.85E+08	2.57E+08
0.499	1.89E+08	2.12E+08
0.5	1.25E+08	1.05E+08
0.501	1.06E+08	1.74E+08
0.502	1.60E+08	6.31E+07
0.503	3.46E+08	1.51E+08
0.504	3.18E+08	7.82E+07
0.505	4.43E+07	1.10E+08
0.506	9.97E+07	1.08E+08
0.507	3.56E+08	2.13E+08
0.508	3.39E+08	4.89E+07
0.509	1.73E+08	2.16E+08
0.51	5.10E+07	4.43E+07
0.511	3.74E+06	7.13E+07
0.512	1.56E+07	6.50E+07
0.513	2.48E+07	3.39E+07
0.514	2.95E+07	4.69E+07
0.515	2.65E+07	1.56E+07
0.516	1.00E+07	1.01E+08
0.517	2.12E+08	6.08E+07
0.518	7.04E+08	3.50E+07
0.519	8.18E+08	1.38E+07
0.52	4.35E+08	5.12E+07
0.521	2.03E+08	2.89E+08
0.522	9.57E+07	5.12E+07
0.523	1.62E+07	3.24E+07
0.524	3.36E+07	6.19E+07
0.525	5.89E+07	2.56E+07
0.526	3.64E+07	2.38E+07
0.527	2.35E+08	1.29E+08
0.528	3.70E+08	2.88E+07
0.529	1.50E+08	4.24E+07
0.53	4.28E+07	5.62E+07
0.531	1.74E+08	7.89E+07
0.532	2.27E+08	1.21E+07
0.533	2.01E+08	1.10E+07
0.534	1.66E+08	5.76E+07
0.535	1.08E+08	1.90E+07
0.536	1.54E+08	3.17E+07
0.537	3.52E+08	4.29E+07
0.538	3.75E+08	1.45E+08
0.539	2.24E+08	9.78E+07
0.54	8.40E+07	1.54E+08
0.541	9.93E+06	3.33E+07
0.542	5.69E+07	2.70E+07
0.543	2.12E+08	4.63E+07
0.544	3.33E+08	1.61E+08
0.545	1.79E+08	4.66E+07
0.546	4.00E+07	1.01E+08
0.547	2.07E+08	1.06E+08
0.548	2.13E+08	2.34E+07
0.549	9.31E+07	4.69E+07
0.55	6.59E+07	1.31E+07
0.551	5.18E+07	5.60E+07
0.552	1.03E+08	5.26E+07
0.553	8.91E+07	1.64E+07
0.554	3.66E+08	3.06E+07
0.555	8.31E+08	3.45E+07
0.556	3.83E+08	2.55E+07
0.557	4.84E+07	1.79E+07
0.558	2.27E+08	1.17E+08
0.559	2.68E+08	1.51E+08
0.56	1.68E+08	6.13E+07
0.561	7.72E+07	7.47E+07
0.562	5.59E+07	5.37E+07
0.563	3.45E+07	5.65E+07
0.564	5.61E+07	5.26E+07
0.565	8.32E+07	8.81E+07
0.566	3.05E+07	2.15E+07
0.567	2.90E+07	1.70E+07
0.568	1.38E+08	7.38E+06
0.569	2.22E+08	3.37E+07
0.57	1.41E+08	3.30E+07
0.571	1.56E+08	7.03E+07
0.572	3.20E+08	1.46E+07
0.573	2.87E+08	2.21E+07
0.574	3.73E+08	1.94E+07
0.575	8.61E+08	1.33E+08
0.576	7.91E+08	8.86E+07
0.577	2.28E+08	8.86E+07
0.578	1.62E+07	1.69E+07
0.579	1.35E+08	1.52E+07
0.58	2.46E+08	3.12E+07
0.581	1.96E+08	1.81E+07
0.582	1.54E+08	1.59E+08
0.583	1.58E+08	4.72E+07
0.584	1.97E+08	3.72E+07
0.585	4.59E+08	5.16E+07
0.586	4.20E+08	3.70E+07
0.587	2.33E+08	1.52E+07
0.588	4.76E+08	6.18E+07
0.589	7.10E+08	3.25E+07
0.59	4.74E+08	9.48E+06
0.591	4.51E+08	2.60E+07
0.592	8.44E+08	3.05E+07
0.593	6.10E+08	5.07E+07
0.594	2.06E+08	1.22E+08
0.595	1.72E+08	9.63E+07
0.596	8.22E+07	9.07E+07
0.597	5.16E+07	3.41E+07
0.598	1.27E+08	6.63E+07
0.599	1.53E+08	2.94E+07
0.6	4.83E+07	2.48E+07
0.601	5.37E+07	2.38E+06
0.602	7.65E+07	2.46E+07
0.603	2.20E+07	2.23E+07
0.604	8.25E+07	5.37E+07
0.605	1.48E+08	1.31E+08
0.606	1.14E+08	2.29E+07
0.607	6.86E+07	4.52E+07
0.608	5.41E+07	7.16E+07
0.609	2.66E+07	1.15E+08
0.61	1.03E+07	9.14E+07
0.611	5.50E+07	2.63E+08
0.612	5.60E+07	1.14E+08
0.613	1.00E+07	5.80E+07
0.614	3.36E+07	6.19E+07
0.615	4.55E+07	3.45E+07
0.616	3.38E+07	3.95E+07
0.617	1.64E+08	6.10E+07
0.618	2.32E+08	5.41E+07
0.619	8.05E+07	2.08E+07
0.62	2.82E+07	7.78E+07
0.621	2.93E+07	5.34E+07
0.622	2.60E+07	9.70E+07
0.623	3.37E+07	2.19E+07
0.624	1.12E+07	2.04E+07
0.625	1.54E+07	6.71E+06
0.626	3.98E+07	4.91E+07
0.627	7.98E+07	1.19E+08
0.628	1.29E+08	4.16E+07
0.629	1.51E+08	5.46E+07
0.63	1.84E+08	2.40E+07
0.631	2.66E+08	3.45E+07
0.632	2.39E+08	2.01E+07
0.633	1.17E+08	4.24E+07
0.634	3.10E+07	6.11E+07
0.635	6.84E+07	4.77E+07
0.636	3.17E+08	2.31E+07
0.637	2.16E+08	5.95E+07
0.638	2.22E+07	1.49E+08
0.639	1.78E+08	7.12E+07
0.64	1.85E+08	7.94E+07
0.641	4.75E+07	4.94E+07
0.642	2.84E+07	8.36E+07
0.643	4.78E+07	3.74E+07
0.644	1.55E+07	2.37E+07
0.645	1.27E+07	1.08E+07
0.646	8.34E+06	7.79E+06
0.647	6.89E+07	2.74E+07
0.648	1.42E+08	4.54E+07
0.649	1.04E+08	4.72E+06
0.65	1.32E+08	7.61E+06
0.651	2.87E+08	2.18E+07
0.652	3.35E+08	2.02E+07
0.653	1.39E+08	2.31E+07
0.654	1.25E+07	3.21E+07
0.655	3.43E+07	3.23E+07
0.656	3.42E+07	1.60E+07
0.657	2.57E+07	8.72E+07
0.658	2.26E+07	8.29E+07
0.659	2.77E+07	1.07E+08
0.66	9.10E+07	4.83E+07
0.661	1.67E+08	7.80E+07
0.662	1.40E+08	6.01E+06
0.663	5.95E+07	3.13E+07
0.664	3.34E+07	4.88E+07
0.665	1.43E+08	1.20E+07
0.666	2.74E+08	5.67E+07
0.667	1.58E+08	5.90E+07
0.668	1.62E+07	4.64E+07
0.669	4.34E+07	1.00E+08
0.67	8.81E+07	5.85E+07
0.671	7.85E+07	8.26E+07
0.672	5.27E+07	2.66E+07
0.673	4.99E+07	1.61E+07
0.674	1.10E+08	2.19E+07
0.675	1.80E+08	1.41E+07
0.676	8.27E+07	4.13E+07
0.677	2.49E+07	2.30E+07
0.678	1.16E+08	4.58E+07
0.679	9.11E+07	3.77E+07
0.68	6.55E+07	1.15E+07
0.681	1.65E+08	7.00E+06
0.682	1.84E+08	2.50E+07
0.683	8.49E+07	2.38E+07
0.684	3.72E+07	6.24E+06
0.685	3.89E+07	1.39E+07
0.686	3.82E+07	2.15E+07
0.687	2.83E+07	4.38E+06
0.688	2.71E+07	3.29E+07
0.689	2.92E+07	1.07E+08
0.69	3.17E+07	1.13E+08
0.691	2.57E+07	8.88E+07
0.692	1.71E+07	1.40E+08
0.693	2.11E+07	7.08E+07
0.694	4.13E+07	2.80E+07
0.695	1.20E+08	2.02E+07
0.696	1.75E+08	2.09E+07
0.697	1.11E+08	2.58E+07
0.698	3.84E+07	8.26E+06
0.699	1.34E+07	1.94E+07
0.7	4.19E+07	1.06E+07
0.701	7.15E+07	9.27E+06
0.702	1.63E+07	1.20E+07
0.703	6.17E+07	8.84E+06
0.704	2.80E+08	1.28E+07
0.705	3.62E+08	5.84E+07
0.706	1.81E+08	1.08E+08
0.707	4.91E+07	1.13E+08
0.708	2.10E+07	1.14E+08
0.709	1.37E+07	3.92E+07
0.71	1.38E+08	7.77E+07
0.711	1.81E+08	3.52E+07
0.712	6.16E+07	5.11E+07
0.713	1.96E+08	1.17E+07
0.714	5.46E+08	2.45E+07
0.715	5.64E+08	6.80E+06
0.716	2.22E+08	2.69E+06
0.717	1.89E+08	1.45E+07
0.718	3.60E+08	1.35E+07
0.719	2.31E+08	8.69E+06
0.72	1.26E+08	6.52E+06
0.721	2.76E+08	1.60E+07
0.722	2.99E+08	1.76E+07
0.723	1.59E+08	1.59E+07
0.724	8.05E+07	2.39E+07
0.725	7.16E+07	2.27E+06
0.726	2.80E+07	5.29E+06
0.727	2.91E+07	1.28E+07
0.728	1.35E+08	5.39E+07
0.729	1.36E+08	5.10E+06
0.73	3.69E+07	1.04E+08
0.731	6.46E+06	1.63E+07
0.732	4.48E+07	2.93E+07
0.733	5.62E+07	2.43E+07
0.734	2.51E+07	1.31E+07
0.735	1.55E+07	4.25E+06
0.736	2.02E+07	8.67E+06
0.737	9.11E+06	1.36E+07
0.738	1.75E+07	1.67E+07
0.739	3.91E+07	2.05E+07
0.74	4.43E+07	2.00E+07
0.741	2.79E+07	6.36E+06
0.742	5.01E+06	2.51E+07
0.743	1.55E+07	3.96E+07
0.744	8.06E+07	1.12E+07
0.745	1.34E+08	5.59E+07
0.746	1.05E+08	2.37E+07
0.747	1.84E+08	4.70E+07
0.748	2.42E+08	7.85E+07
0.749	8.82E+07	3.74E+07
0.75	4.73E+07	6.20E+07
0.751	1.01E+08	1.66E+07
0.752	9.23E+07	1.65E+07
0.753	2.30E+07	2.51E+07
0.754	9.12E+06	8.82E+06
0.755	3.41E+07	5.08E+07
0.756	1.65E+07	4.76E+06
0.757	5.98E+06	1.24E+07
0.758	2.74E+06	2.81E+06
0.759	2.22E+06	2.50E+06
0.76	1.20E+07	2.15E+07
0.761	2.04E+07	9.50E+06
0.762	1.57E+07	8.15E+06
0.763	2.03E+07	1.72E+07
0.764	4.53E+07	3.27E+07
0.765	5.54E+07	2.74E+07
0.766	4.25E+07	1.65E+07
0.767	2.74E+07	3.35E+07
0.768	1.97E+07	7.05E+07
0.769	1.09E+07	3.88E+07
0.77	1.67E+07	4.11E+07
0.771	4.31E+07	2.76E+07
0.772	7.08E+07	2.03E+07
